study,energy_restriction,energy_deficit,outcome,yi,ci.lb,ci.ub
Donnelly 199369,1,1179,STR,0.65,0.27,1.02
Ring-Dimitriou 200870,0,101,STR,0.3,-0.04,0.64
Campbell 200971,1,400,STR1,0.48,0.19,0.78
Campbell 200971,1,400,STR2,0.61,0.3,0.91
de Oliveira Silva 201872,0,51,STR1,0.49,0.35,0.64
de Oliveira Silva 201872,0,51,STR2,1.07,0.9,1.24
Andersen 199773,1,849,LM,-0.29,-0.48,-0.09
Boyden 199374,0,-34,LM,0.21,0.12,0.31
Gornall 199675,1,1190,LM,-0.28,-0.48,-0.08
Fernandez-del-Valle 201876,0,13,LM,0.15,-0.11,0.4
Nakata 200877,1,665,LM,-0.46,-0.6,-0.31
Nakata 200877,1,665,STR,0.42,0.25,0.59
Singh 200978,0,84,LM,0.32,0.19,0.44
Singh 200978,0,84,STR,0.73,0.53,0.92
Wood 201279,1,719,LM,-0.13,-0.34,0.08
Wood 201279,1,719,STR,0.93,0.56,1.29
Holwerda 201880,0,56,LM,0.26,0.12,0.4
Holwerda 201880,0,56,STR,0.85,0.62,1.09
Wood 201279,1,892,LM,-0.32,-0.56,-0.07
Wood 201279,1,892,STR,0.64,0.27,1.02
Holwerda 201880,0,67,LM,0.18,0.05,0.32
Holwerda 201880,0,67,STR,0.87,0.65,1.1
Pronk 199281,1,1657,STR,0.13,-0.05,0.31
Yoshizawa 200982,0,,STR,0.66,0.37,0.96
Kreider 201183,1,459,LM,-0.11,-0.17,-0.06
Ferreira 201084,0,553,LM,0.61,0.42,0.79
